Date,AAPL,GLD,IEF,MSFT
2016-01-04,23.709102630615234,102.88999938964844,83.77182006835938,47.77070999145508
2016-01-05,23.11496925354004,103.18000030517578,83.74811553955078,47.9886474609375
2016-01-06,22.66261863708496,104.66999816894531,84.25370025634766,47.11692810058594
2016-01-07,21.706151962280273,106.1500015258789,84.43543243408203,45.47808837890625
2016-01-08,21.8209285736084,105.68000030517578,84.64872741699219,45.61754608154297
2016-01-11,22.174259185791016,104.73999786376953,84.3801040649414,45.59141159057617
2016-01-12,22.49608039855957,104.20999908447266,84.75933837890625,46.00980758666992
2016-01-13,21.917701721191406,104.72000122070312,85.09114074707031,45.01605987548828
2016-01-14,22.39705467224121,103.0199966430664,84.91729736328125,46.29750061035156
2016-01-15,21.859188079833984,104.08000183105469,85.31230926513672,44.44944763183594
2016-01-19,21.753408432006836,103.9800033569336,85.20169830322266,44.07460403442383
2016-01-20,21.78266716003418,105.37000274658203,85.62043762207031,44.27510070800781
2016-01-21,21.67238998413086,105.48999786376953,85.40711212158203,44.004859924316406
2016-01-22,22.824649810791016,105.0,85.21752166748047,45.582679748535156
2016-01-25,22.37906265258789,106.08000183105469,85.501953125,45.14680862426758
2016-01-26,22.50282859802246,107.29000091552734,85.56513977050781,45.47808837890625
2016-01-27,21.024246215820312,107.69000244140625,85.62833404541016,44.64994430541992
2016-01-28,21.175024032592773,106.54000091552734,85.73892211914062,45.38219451904297
2016-01-29,21.90644645690918,106.94999694824219,86.19713592529297,48.02351760864258
2016-02-01,21.70164680480957,108.05000305175781,85.9985580444336,47.6922721862793
2016-02-02,21.262800216674805,108.08999633789062,86.60774993896484,46.20161056518555
2016-02-03,21.68364906311035,109.25,86.51280212402344,45.469364166259766
2016-02-04,21.857872009277344,110.56999969482422,86.718505859375,45.329891204833984
2016-02-05,21.274089813232422,112.31999969482422,86.82926940917969,43.72590637207031
2016-02-08,21.49810218811035,113.83000183105469,87.47801208496094,43.07210922241211
2016-02-09,21.49357795715332,113.58000183105469,87.49381256103516,42.95877456665039
2016-02-10,21.330659866333008,114.45999908447266,87.75489807128906,43.3336181640625
2016-02-11,21.20168685913086,119.05999755859375,88.15841674804688,43.31619644165039
2016-02-12,21.26730728149414,118.36000061035156,87.48590850830078,44.02228546142578
2016-02-16,21.86692237854004,114.7699966430664,87.22483825683594,44.85639953613281
2016-02-17,22.201807022094727,115.4800033569336,87.01126098632812,46.02409744262695
2016-02-18,21.78094482421875,118.29000091552734,87.41470336914062,45.8221549987793
2016-02-19,21.73116111755371,117.58000183105469,87.41470336914062,45.497318267822266
2016-02-22,21.921232223510742,115.48999786376953,87.32768249511719,46.226043701171875
2016-02-23,21.42569923400879,117.22000122070312,87.50174713134766,44.935394287109375
2016-02-24,21.744739532470703,117.61000061035156,87.50174713134766,45.093421936035156
2016-02-25,21.894081115722656,117.91999816894531,87.7628173828125,45.74314498901367
2016-02-26,21.92801856994629,117.11000061035156,87.3355941772461,45.04075241088867
2016-02-29,21.878244400024414,118.63999938964844,87.47801208496094,44.6719856262207
2016-03-01,22.74712371826172,117.7699966430664,86.79427337646484,46.164581298828125
2016-03-02,22.796907424926758,118.68000030517578,86.64374542236328,46.48942565917969
2016-03-03,22.966604232788086,120.7300033569336,86.74674224853516,45.962646484375
2016-03-04,23.308279037475586,120.54000091552734,86.45359802246094,45.68169403076172
2016-03-07,23.050331115722656,121.13999938964844,86.27925872802734,44.80369186401367
2016-03-08,22.86025619506836,120.58000183105469,86.77839660644531,45.348052978515625
2016-03-09,22.880624771118164,119.58000183105469,86.437744140625,46.39285659790039
2016-03-10,22.891937255859375,121.5,86.12875366210938,45.699249267578125
2016-03-11,23.138572692871094,119.41000366210938,85.88318634033203,46.59479904174805
2016-03-14,23.19741439819336,117.87000274658203,85.94649505615234,46.6826057434082
2016-03-15,23.663530349731445,117.95999908447266,85.9306640625,47.051353454589844
2016-03-16,23.978038787841797,120.58999633789062,86.38227844238281,47.7186164855957
2016-03-17,23.939579010009766,120.12999725341797,86.47733306884766,47.990806579589844
2016-03-18,23.96672821044922,119.80000305175781,86.62788391113281,46.96354675292969
2016-03-21,23.964460372924805,118.95999908447266,86.38227844238281,47.28840255737305
2016-03-22,24.147747039794922,119.30999755859375,86.2000732421875,47.472782135009766
2016-03-23,24.014245986938477,116.61000061035156,86.59622192382812,47.38500213623047
2016-03-24,23.9101619720459,116.33000183105469,86.5090560913086,47.59569549560547
2016-03-28,23.801555633544922,116.5999984741211,86.63580322265625,47.00746154785156
2016-03-29,24.36496925354004,118.76000213623047,87.22208404541016,48.03469467163086
2016-03-30,24.790361404418945,117.0999984741211,87.103271484375,48.33320999145508
2016-03-31,24.66139030456543,117.63999938964844,87.42012786865234,48.49123764038086
2016-04-01,24.88766098022461,116.93000030517578,87.39478302001953,48.78976058959961
2016-04-04,25.14335060119629,116.1500015258789,87.49790954589844,48.666839599609375
2016-04-05,24.846933364868164,117.66000366210938,87.84706115722656,47.902992248535156
2016-04-06,25.107141494750977,116.94000244140625,87.6565933227539,48.39466094970703
2016-04-07,24.55956268310547,118.61000061035156,88.10895538330078,47.81519317626953
2016-04-08,24.586715698242188,118.43000030517578,87.97405242919922,47.78007888793945
2016-04-11,24.668174743652344,120.02999877929688,87.95816040039062,47.68349838256836
2016-04-12,24.989482879638672,120.05000305175781,87.60900115966797,47.98200988769531
2016-04-13,25.35151481628418,118.7699966430664,87.67249298095703,48.59659957885742
2016-04-14,25.365083694458008,117.11000061035156,87.4662094116211,48.605384826660156
2016-04-15,24.855976104736328,117.91999816894531,87.72801208496094,48.86000061035156
2016-04-18,24.319713592529297,117.73999786376953,87.6407470703125,49.571163177490234
2016-04-19,24.190736770629883,119.58000183105469,87.49790954589844,49.50972366333008
2016-04-20,24.240522384643555,118.97000122070312,87.05360412597656,48.80731964111328
2016-04-21,23.978038787841797,119.41999816894531,86.91072845458984,48.974124908447266
