Date,AAPL,GLD,IEF,MSFT
2016-01-04,23.70910263061523,102.88999938964844,83.49126434326172,47.77070999145508
2016-01-05,23.11496925354004,103.18000030517578,83.46764373779297,47.98866271972656
2016-01-06,22.66261100769043,104.66999816894533,83.97158813476562,47.11693572998047
2016-01-07,21.70614242553711,106.1500015258789,84.15265655517578,45.47808074951172
2016-01-08,21.8209285736084,105.68000030517578,84.365234375,45.617557525634766
2016-01-11,22.17425537109375,104.73999786376952,84.09746551513672,45.59139251708984
2016-01-12,22.49608039855957,104.20999908447266,84.47545623779297,46.00983428955078
2016-01-13,21.91770362854004,104.72000122070312,84.80613708496094,45.01605987548828
2016-01-14,22.397058486938477,103.0199966430664,84.63291931152344,46.29750061035156
2016-01-15,21.85918235778809,104.08000183105467,85.02660369873047,44.44943618774414
2016-01-19,21.753414154052734,103.9800033569336,84.9163589477539,44.074588775634766
2016-01-20,21.782669067382812,105.37000274658205,85.3337173461914,44.27508544921875
2016-01-21,21.672393798828125,105.48999786376952,85.12106323242188,44.00485610961914
2016-01-22,22.82465362548828,105.0,84.93212127685547,45.58267974853515
2016-01-25,22.379053115844727,106.08000183105467,85.21556854248047,45.146820068359375
2016-01-26,22.502830505371097,107.29000091552734,85.27854919433594,45.47808074951172
2016-01-27,21.024248123168945,107.69000244140624,85.34153747558594,44.64992904663086
2016-01-28,21.175029754638672,106.54000091552734,85.45178985595703,45.382179260253906
2016-01-29,21.90645217895508,106.9499969482422,85.90846252441406,48.02352523803711
2016-02-01,21.701644897460938,108.0500030517578,85.71052551269531,47.6922607421875
2016-02-02,21.26280212402344,108.08999633789062,86.31768798828125,46.20160675048828
2016-02-03,21.68364524841309,109.25,86.2230224609375,45.46936798095703
2016-02-04,21.857873916625977,110.56999969482422,86.42802429199219,45.32988739013672
2016-02-05,21.274091720581055,112.31999969482422,86.53844451904297,43.72590637207031
2016-02-08,21.498106002807617,113.83000183105467,87.18502807617188,43.07210540771485
